form,rating,model_name,language,cluster_type,edge_type,weighting,tails
B L,-16.860500000000002,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
B R,-15.9635,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
B W,-18.087,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
D G,-24.9785,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
D N,-24.031,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
D R,-19.334,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
D W,-20.725,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
F L,-16.7215,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
F N,-22.075499999999998,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
F R,-15.341999999999999,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
F W,-19.006,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
G L,-16.458,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
G R,-16.111,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
G W,-18.7295,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
K L,-15.482,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
K M,-20.963,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
K R,-15.6005,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
K W,-16.5285,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
L M,-25.7815,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
L N,-25.609,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
L T,-23.7905,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
M L,-20.0285,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
M R,-19.320999999999998,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
N L,-21.6045,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
P K,-21.231,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
P L,-15.455,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
P R,-14.8565,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
P W,-18.03,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
R D,-22.878500000000003,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
R G,-22.844,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
R L,-21.025,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
R N,-22.229,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
S M,-19.871499999999997,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
S N,-16.441499999999998,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
S W,-16.229,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
